DimInvestmentID,Investment Regime,Asset Class,Sub Asset Class,SubAssetClassNew,AssetClassNew,Original_AssetClass,Original_SubAssetClass,SortOrder_Regime,SortOrder_AssetClass,SortOrder_SubAssetClass,IsAssetClass Total,IsConsolidation Account,IsRegime Total,IsSubassetClass Total,Name,IsAssetClassTotal,IsConsolidationAccount,InvestmentManagerID,IsRegimeTotal,IsSubassetClass_Total
2045,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,LGP Green Equity VIII CI - OMNIA,0,0,Leonard Green,0,0
2234,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Thoma Bravo Discover III,0,0,Thoma Bravo,0,0
2317,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Incline Elevate II,0,0,Incline Equity,0,0
2324,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Insight XII Buyout Annex,0,0,Insight Venture Partners,0,0
2338,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Inverness II,0,0,Inverness,0,0
2366,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Reservoir CP III,0,0,Reservoir,0,0
2409,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Incline Ascent I,0,0,Incline Equity,0,0
2471,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,American Securities IX,0,0,American Securities,0,0
2476,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Lake Capital I,0,0,Lake Capital,0,0
2529,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Thoma Bravo Discover IV,0,0,Thoma Bravo,0,0
2548,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,TA XV,0,0,TA Associates,0,0
2572,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,HIG Europe II,0,0,H.I.G. Capital,0,0
2668,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,American Industrial VIII,0,0,American Industrial Partners,0,0
2673,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,LNK II,0,0,LNK,0,0
2685,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Accel-KKR Emerging Buyout II,0,0,Accel - KKR,0,0
2733,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,LNK II CI Vehicle,0,0,LNK,0,0
2741,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,LGP Jade Equity II,0,0,Leonard Green,0,0
2804,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Cerberus Supply Chain,0,0,Cerberus,0,0
2869,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,GTCR Strategic Growth I A,0,0,GTCR,0,0
2889,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Dragoneer VII,0,0,Dragoneer,0,0
2956,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Parthenon II,0,0,Parthenon,0,0
2984,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,GTCR XIV A,0,0,GTCR,0,0
3041,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Veritas VIII,0,0,Veritas,0,0
3067,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,TPG IV,0,0,TPG Capital,0,0
3300,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Serve Opp I,0,0,Serve,0,0
